contract,included_family_statuses,eligible_current_officials,eligible_current_official_share,represented_domains,primary_exclusion_reasons
direct_one_common_family_one_cast_vote,"[""directly_comparable""]",360,0.8163,"{""ENVIRONMENT_ENERGY"": 333, ""JUSTICE_PUBLIC_SAFETY"": 347, ""NATIONAL_SECURITY_FOREIGN"": 356}","{""below_family_or_vote_threshold"": 81}"
direct_one_common_family_three_cast_votes,"[""directly_comparable""]",0,0.0,{},"{""below_family_or_vote_threshold"": 441}"
direct_two_common_families,"[""directly_comparable""]",358,0.8118,"{""ENVIRONMENT_ENERGY"": 333, ""JUSTICE_PUBLIC_SAFETY"": 347, ""NATIONAL_SECURITY_FOREIGN"": 354}","{""below_family_or_vote_threshold"": 83}"
direct_support_and_opposition_opportunity,"[""directly_comparable""]",0,0.0,{},"{""below_family_or_vote_threshold"": 441}"
direct_not_voting_below_20,"[""directly_comparable""]",356,0.8073,"{""ENVIRONMENT_ENERGY"": 331, ""JUSTICE_PUBLIC_SAFETY"": 343, ""NATIONAL_SECURITY_FOREIGN"": 353}","{""below_family_or_vote_threshold"": 79, ""not_voting_burden"": 6}"
direct_limited_procedural_below_50,"[""directly_comparable""]",0,0.0,{},"{""limited_procedural_burden"": 441}"
direct_and_conditional_one_family,"[""directly_comparable"", ""conditionally_comparable""]",367,0.8322,"{""ECONOMY_TAXES"": 361, ""ENVIRONMENT_ENERGY"": 363, ""JUSTICE_PUBLIC_SAFETY"": 362, ""NATIONAL_SECURITY_FOREIGN"": 365}","{""below_family_or_vote_threshold"": 74}"
direct_and_conditional_three_cast_votes,"[""directly_comparable"", ""conditionally_comparable""]",354,0.8027,"{""ECONOMY_TAXES"": 354}","{""below_family_or_vote_threshold"": 87}"
direct_and_conditional_two_families,"[""directly_comparable"", ""conditionally_comparable""]",362,0.8209,"{""ECONOMY_TAXES"": 361, ""ENVIRONMENT_ENERGY"": 362, ""JUSTICE_PUBLIC_SAFETY"": 362, ""NATIONAL_SECURITY_FOREIGN"": 361}","{""below_family_or_vote_threshold"": 79}"
direct_and_conditional_full_caveated_contract,"[""directly_comparable"", ""conditionally_comparable""]",0,0.0,{},"{""limited_procedural_burden"": 435, ""not_voting_burden"": 6}"
